latitude,longitude
42.275855833,-71.816685667
42.2758445,-71.816696333
42.275832,-71.816706
42.275820667,-71.816715833
42.275808667,-71.816723333
42.275796,-71.816728167
42.275715333,-71.816755167
42.275702667,-71.816758167
42.275690333,-71.816762667
42.275677,-71.816767167
42.275664333,-71.816767667
42.275649833,-71.816770833
42.2756355,-71.816774
42.275621667,-71.816778167
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275608,-71.816784
42.275474167,-71.816805
42.275474167,-71.816805
42.275474167,-71.816805
42.275474167,-71.816805
42.275474167,-71.816805
42.275474167,-71.816805
42.275387833,-71.816826833
42.2753755,-71.8168295
42.2753635,-71.816832
42.275351833,-71.816836833
42.275340167,-71.816841833
42.275327333,-71.816844333
42.2753045,-71.816843333
42.275245667,-71.8168645
42.2752355,-71.816863833
42.275225,-71.816863167
42.275215667,-71.816865167
42.275205333,-71.816868
42.2751935,-71.81687
42.275180167,-71.816869833
42.275168333,-71.816871833
42.275156667,-71.816875
42.275156667,-71.816875
42.275156667,-71.816875
42.275156667,-71.816875
42.275156667,-71.816875
42.2750945,-71.816882167
42.275083833,-71.816883
42.2750695,-71.816883667
42.275055667,-71.816886833
42.275043333,-71.816888667
42.275031333,-71.816890667
42.2750175,-71.816893167
42.274959667,-71.816902333
42.274947333,-71.816905833
42.2749345,-71.816910833
42.274920667,-71.816916333
42.27491,-71.816920833
42.274899,-71.816921
42.274888,-71.816922333
42.274875167,-71.816922333
42.2748615,-71.816922167
42.27485,-71.816924667
42.274836667,-71.816927
42.274836667,-71.816927
42.274836667,-71.816927
42.274836667,-71.816927
42.274836667,-71.816927
42.274765,-71.816931333
42.274765,-71.816931333
42.274753333,-71.816931
42.274742,-71.816930333
42.274732,-71.816922333
42.274717333,-71.816921833
42.274666667,-71.8168955
42.274653,-71.816884667
42.274638833,-71.816872333
42.274628,-71.816861
42.274619667,-71.816846833
42.274612833,-71.8168305
42.274609667,-71.8168215
42.274606833,-71.816807833
42.274602333,-71.816793833
42.274602333,-71.816793833
42.274602333,-71.816793833
42.274581167,-71.816748167
42.274572833,-71.816739167
42.27456,-71.816736167
42.27455,-71.8167375
42.274542167,-71.8167375
42.274533167,-71.816740667
42.2745305,-71.81674
42.274522833,-71.816741833
42.274515,-71.816743333
42.274513667,-71.8167475
42.274514667,-71.816742333
42.274514167,-71.816747667
42.274515667,-71.816747833
42.274515667,-71.816747833
42.274515667,-71.816747833
42.274515667,-71.816747833
42.274515667,-71.816747833
42.274506667,-71.816765333
42.274505667,-71.816764667
42.274503833,-71.816754
42.274501667,-71.816742333
